Study;Author;Rater_1;Rater_2
Perception without attention Results of a new method;Rock et al. (1992);Yay;Yay
Perception without attention Evidence of grouping under conditions of inattention;Moore e Egeth (1997);Yay;Yay
New indirect measures of “inattentive” visual grouping in a change-detection task;Russel and Driver (2005);Yay;Yay
Perceptual visual grouping under inattention Electrophysiological functional imaging;Razpurker-Apfeld and Pratt (2008);Yay;Yay
Object-related regularities are processed automatically evidence from the visual mismatch negativity;Muller et al. (2013);Nay;Nay
 Visual Object Representations Can Be Formed outside the Focus of Voluntary Attention Evidence from Event-related Brain Potentials;Muller et al. (2010);Nay;Yay
Figure-Ground Segmentation Can Occur Without Attention;Kimchi and Peterson (2008);Nay;Yay
Perceptual grouping does not affect multi-attribute decision making if no processing costs are involved;Ettlin and Broder (2015);Nay;Nay
Can you perceive ensembles without perceiving individuals?: The role of statistical perception in determining whether awareness overflows access;Ward et al. (2016);Nay;Nay
A Visual Attention Monitor Based on Steady-State Visual Evoked Potential;Lee et al. (2016);Nay;Nay
Attentional and Contextual Priors in Sound Perception;Wolmetz and Elhilali (2016);Nay;Nay
No iconic memory without attention;Mack et al. (2016);Nay;Nay
Memory and the Operational Witness: Police Officer Recall of Firearms Encounters as a Function of Active Response Role;Hope et al. (2016);Nay;Nay
Attribute Amnesia Reflects a Lack of Memory Consolidation for Attended Information;Chen and Wyble (2016);Nay;Nay
Designing an artefact to help users make intervention decisions about their wellness;Gleasure and Grace (2016);Nay;Nay
University students' Motivated Attention and use of regulation strategies on social media;Wu (2015);Nay;Nay
The Effect of Visual Perceptual Load on Auditory Awareness in Autism Spectrum Disorder;Tillman et al. (2015);Nay;Nay
High perceptual load causes inattentional blindness and deafness in drivers;Murphy and Greene (2015);Nay;Nay
Isolating neural correlates of conscious perception from neural correlates of reporting one's perception;Pitts et al. (2014);Nay;Nay
Subliminal primes for global or local processing influence judgments of vehicular traffic;Huttermann et al. (2014);Nay;Nay
Attentional gain and processing capacity limits predict the propensity to neglect unexpected visual stimuli;Papera and Richards (2016);Nay;Nay
The Influence of Attention Set, Working Memory Capacity, and Expectations on Inattentional Blindness;Kreitz et al. (2016);Nay;Nay
The relationship between sustained inattentional blindness and working memory capacity;Beanland and Chan (2016);Nay;Nay
Inattentional blindness in older adults: Effects of attentional set and to-be-ignored distractors;Horwood and beanland (2016);Nay;Nay
Review of crisis resource management (CRM) principles in the setting of intraoperative malignant hyperthermia;Isaak and Stiegler (2016);Nay;Nay
